Qty;Parts;Value;Device;Package;Description;DESC;MF;;DISPO
;;;;;;;;;
CONDENSATEUR;;;;;;;;;
2;C6, C8;15pF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;y
2;C4, C7;22pF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;y
3;C13, C14, C25;1nF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;y
3;C1, C3, C26;100nF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;y
2;C12, C19;1uF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;y
2;C2, C5;2.2uF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;y
1;R10;DNP;R-EU_R0603;R0603;RESISTOR, European symbol;;;;y
;;;;;;;;;
1;C22;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;
1;C21;150nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;
1;C23;1uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;
5;C9, C16, C18, C20, C27;2.2uF;CPOL-EUC0805POL;C0805POL;POLARIZED CAPACITOR, European symbol;;;;
2;C10, C11;10uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;
3;C15, C17, C24;10uF;CPOL-EUC0805POL;C0805POL;POLARIZED CAPACITOR, European symbol;;;;
;;;;;;;;;
1;C28;10uF;C-EUC1206;C1206;CAPACITOR, European symbol;;;;
;;;;;;;;;
RESISTANCE;;;;;;;;;
2;R1, R2;33;R-EU_R0603;R0603;RESISTOR, European symbol;;;;y
1;R3;470;R-EU_R0603;R0603;RESISTOR, European symbol;;;;y
2;R4, R5;2.2K;R-EU_R0603;R0603;RESISTOR, European symbol;;;;y
5;R6, R7, R8, R13, R14;10K;R-EU_R0603;R0603;RESISTOR, European symbol;;;;y
4;R9, R11, R12, R15;47K;R-EU_R0603;R0603;RESISTOR, European symbol;;;;y
;;;;;;;;;
;;;;;;;;;
1;F1;750mA;PTC0603;603;Resettable Fuse PTC;;;;y
;;;;;;;;;
IC;;;;;;;;;
1;U3;AP7312-1833W6-7;VREG_SOT23-6_DUALAP7312;SOT23-6;Dual Output SOT23-6 Linear Regulators;;;;y
1;IC1;MCP73831T-2ACI/OT;MCP73831/2;SOT23-5;MCP73831/2 LIPO Charger;;;;n
1;U2;SGTL5000-32;SGTL5000-32;QFN-32-5MM;;;;;y
1;U4;MK20DX256VLH7;MK20DX256VLH7;LQFP64-05;;MK20DX256VLH7;NXP;;n
1;K2;MKL04Z32VLC4;MKL04Z32VLC4;LQFP32-08;;MKL04Z32VLC4 (preprogrammed);PJRC;;y
1;U1;LP2985-33DBVR;LP2985-XXDBVR33;SOT23-DBV;ULTRALOW-POWER 50-mA LOW-DROPOUT LINEAR REGULATORS;;;;y
;;;;;;;;;
CONNECTOR;;;;;;;;;
1;BATTERIE;BTH-V-20LF;B1;3V_BAT_HOLDER;LI BATTERY Varta;;;;y
1;RST;RESET;PB157;157SW;;;;;y
1;X1;USB_MICRO_TG;USB_MICRO_TG;USB_MICRO_TG;;;;;y
1;JP1;;AUDIO-JACK1:1;STEREOJACK2.5MM;3.5mm Audio Jack;;;;n
;;;;;;;;;
AUTRE;;;;;;;;;
8;1, 2, 3, 4, 5, 6, 7, 8;;WS2812B;WS2812B;WS2812B - Intelligent control LED integrated light source;;;;y
1;SPK1;SMT-0540-S-R;SMT-0540-S-R;SMT-0540-S-R;SMT-0549-S-R;;;;y
1;SW1;EC11E15244G1 ;ENCODER_RGB_CAKIT;ENCODER_LED_3_KIT;Illuminated Rotary Encoder w/ RGB LED and select switch;;;;y
1;M1;ELECTRET_MICROPHON-F6050AP;ELECTRET_MICROPHON-F6050AP;F6050AP;Electret Condenser Microphone;;;;n
1;Y1;16Mhz;CRYSTAL3.2X1.5MM;CRYSTAL-SMD-3.2X1.5MM;Various standard crystals. Proven footprints.;;;;n
1;Y2;32.768kHz;CRYSTAL3.2X1.5MM;CRYSTAL-SMD-3.2X1.5MM;Various standard crystals. Proven footprints.;;;;y
1;Q1;BSS123;BSS123;SOT23;N-CHANNEL MOS FET;;;;y
4;D9, D10, D11, D12;MBR120;DIODESOD-323F;SOD-323F;Diode;;;;y
5;L1, L2, L3, L4, L5;BLM18PG121;L-EUL0603;L0603;INDUCTOR, European symbol;;;;y
